00:00,01:07,inte
00:12,00:31,fear
00:31,01:07,happiness
00:31,01:07,surprise
00:00,01:07,indiff
00:00,01:07,happiness
00:00,01:07,inte
00:00,00:37,happiness
00:00,01:07,indiff
00:35,01:07,surprise
00:00,01:07,inte
00:37,01:07,surprise
00:00,01:07,indiff
00:00,01:07,inte
00:24,00:34,surprise
00:00,01:07,indiff
00:00,01:07,indiff
00:10,00:14,fear
00:35,00:45,surprise
00:45,00:50,disgust
00:00,01:07,inte
00:00,00:14,happiness
00:14,00:35,sadness
00:35,01:07,surprise
00:00,01:07,inte
00:12,00:35,surprise
00:35,01:07,happiness
00:00,01:07,indiff
00:14,00:34,fear
00:46,00:49,disgust
00:14,01:07,anger
00:00,01:07,indiff
00:14,00:44,sadness
00:14,00:44,fear
00:00,01:07,inte
00:18,00:29,sadness
00:38,00:46,surprise
00:47,01:07,happiness
00:00,01:07,indiff
00:16,01:07,surprise
00:00,01:07,indiff
00:13,00:17,surprise
00:00,01:07,disgust
00:00,01:07,inte
00:00,01:07,happiness
00:24,00:31,sadness
